date,safegraph_place,visitor_home_cbg,number
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511552106001,5
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511210209002,5
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,517750105023,5
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511210212002,5
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511210210001,5
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511552101002,5
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511552106002,5
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511210202021,4
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,510719304003,4
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,510719304002,4
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511552102021,4
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,510210402001,4
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511552101005,4
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511210208003,4
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511210212003,4
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,517700004001,4
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,517500102004,4
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,511210203004,4
2019-01-07,sg:427a8540011e4ad7846df1f03f069f1b,510639201022,4
